objectid,filename,title,format,series name,volume number,issue number,publisher,script,pencils,inks,colors,letters,editing,date,subjects
comic078,comic078.jpg,No Rest for the Weary,image/jpeg,Avengers,3,36,Marvel,"Busiek, Kurt","Epting, Steve","Vey, Al","Smith, Tom","Starkings, Richard ; Deschesne, Albert","Sumerak, Marc ; Brevoort, Tom ; Quesada, Joe",2001-01-01,
comic079,comic079.jpg,Scorched Earth,image/jpeg,Avengers,3,37,Marvel,"Busiek, Kurt","Epting, Steve","Vey, Al","Smith, Tom","Starkings, Richard ; Deschesne, Albert","Sumerak, Marc ; Brevoort, Tom ; Quesada, Joe",2001-02-01,
comic080,comic080.jpg,Above and Beyond,image/jpeg,Avengers,3,38,Marvel,"Busiek, Kurt","Davis, Alan","Farmer, Mark","Smith, Tom","J. G. ; Starkings, Richard ; D., Albert","Sumerak, Marc ; Brevoort, Tom ; Quesada, Joe",2001-03-01,
comic081,comic081.jpg,Condition: Green,image/jpeg,Avengers,3,39,Marvel,"Busiek, Kurt","Davis, Alan","Farmer, Mark","Smith, Tom","Starkings, Richard ; Deschesne, Albert","Sumerak, Marc ; Brevoort, Tom ; Quesada, Joe",2001-04-01,
comic082,comic082.jpg,Thoom,image/jpeg,Avengers,3,40,Marvel,"Busiek, Kurt","Davis, Alan","Farmer, Mark","Smith, Tom","Starkings, Richard ; Temofonte, Saida","Sumerak, Marc ; Brevoort, Tom ; Quesada, Joe",2001-05-01,
comic083,comic083.jpg,The High Ground,image/jpeg,Avengers,3,41,Marvel,"Busiek, Kurt","Davis, Alan","Farmer, Mark","Smith, Tom","Starkings, Richard ; Levine, Jason","Sumerak, Marc ; Brevoort, Tom ; Quesada, Joe",2001-06-01,
comic084,comic084.jpg,No More Tomorrows,image/jpeg,Avengers,3,42,Marvel,"Busiek, Kurt","Davis, Alan","Farmer, Mark","Smith, Tom","Starkings, Richard ; Levine, Jason","Sumerak, Marc ; Brevoort, Tom ; Quesada, Joe",2001-07-01,
comic085,comic085.jpg,Global Presence,image/jpeg,Avengers,3,43,Marvel,"Busiek, Kurt","Davis, Alan","Farmer, Mark","Smith, Tom","Starkings, Richard ; Deschesne, Albert","Sumerak, Marc ; Brevoort, Tom ; Quesada, Joe",2001-08-01,
comic086,comic086.jpg,Down Among the Dead Men!,image/jpeg,Avengers,3,44,Marvel,"Busiek, Kurt","Garcia, Manuel","Layton, Bob","Smith, Tom","Starkings, Richard ; Deschesne, Albert","Sumerak, Marc ; Brevoort, Tom ; Quesada, Joe",2001-09-01,
comic087,comic087.jpg,Life During Wartime,image/jpeg,Avengers,3,45,Marvel,"Busiek, Kurt","Garcia, Manuel","Layton, Bob","Smith, Tom","Starkings, Richard ; Deschesne, Albert","Sumerak, Marc ; Brevoort, Tom ; Quesada, Joe",2001-10-01,
comic088,comic088.jpg,Absolute Mastery,image/jpeg,Avengers,3,46,Marvel,"Busiek, Kurt","Garcia, Manuel","Layton, Bob","Smith, Tom","Starkings, Richard ; Deschesne, Albert","Sumerak, Marc ; Brevoort, Tom ; Quesada, Joe",2001-11-01,
comic089,comic089.jpg,The Third Man,image/jpeg,Avengers,N/A,2001 Annual,Marvel,"Busiek, Kurt","Reis, Ivan","Hanna, Scott","Smith, Tom","Starkings, Richard ; Deschesne, Albert","Sumerak, Marc ; Brevoort, Tom ; Quesada, Joe",2001-09-01,
comic090,comic090.jpg,N/A,image/jpeg,Avengers / Ultraforce,1,1,Marvel,"Herdling, Glen","Medina, Angel ; Wyman, M. C.","Aiken, Keith ; Alexandrov, Steve ; Collazo, Hector ; Hudson, Don","DeFillipo, Chris","Chiang, Janice","Macchio, Ralph ; Gruenwald, Mark",1995-10-01,
comic091,comic091.jpg,Citizen Kang: Kang's World / Boys' Night Out / The Puzzle,image/jpeg,Avengers Annual,1,21,Marvel,"Gruenwald, Mark ; Benson, Scott ; Sanderson, Peter","Trimpe, Herb ; Lim, Ron ; Yanizeksi, Rich","Barnett, Charles ; Vancata, Brad ; Panosian, Dan ; Yanizeski, Rich","Going, Gina ; Marshall, Scott","Dutro, Steve ; Sharpe, Dave","Garrahy, Pat ; Macchio, Ralph ; DeFalco, Tom",1992-10-01,
comic092,comic092.jpg,Blood Wraith / A Gamble With Time,image/jpeg,Avengers Annual,1,22,Marvel,"Herdling, Glenn ; Thomas, Roy ; Lofficier, R. J. M.","Gustovich, Mike ; Milgrom, Al","Lenshoek, Ariane ; Stegbauer, Mark","Going, Gina ; Matthys, Chris","Dutro, Steve ; Parker, Rick","Garrahy, Pat ; Macchio, Ralph ; DeFalco, Tom",1993-05-01,
comic093,comic093.jpg,Strangers on an Astral Plane / Estranged Relations,image/jpeg,Avengers Annual,1,23,Marvel,"Thomas, Roy ; Milgrom, Al","Buscema, John ; Milgrom, Al","Buscema, John ; Milgrom, Al","Kalisz, John ; Marts, Michael","Crespi, Susan","Macchio, Ralph ; Idelson, Matt ; DeFalco, Tom",1994-07-01,
comic094,comic094.jpg,Operation: Galactic Storm: Turn of the Sentry,image/jpeg,Avengers West Coast,2,80,Marvel,"Thomas, Roy ; Thomas, Dann","Ross, David","Dzon, Tim","Sharen, Bob","Rosen, Joe","Yomtov, Nel ; DeFalco, Tom",1992-03-01,
comic095,comic095.jpg,Operation: Galactic Storm: They Also Serve...,image/jpeg,Avengers West Coast,2,81,Marvel,"Thomas, Roy ; Thomas, Dann","Ross, David","Dzon, Tim","Sharen, Bob","Rosen, Joe","Yomtov, Nel ; DeFalco, Tom",1992-04-01,
comic096,comic096.jpg,Operation: Galactic Storm: Shi'ar Hatred!,image/jpeg,Avengers West Coast,2,82,Marvel,"Thomas, Roy ; Thomas, Dann","Ross, David","Dzon, Tim","Sharen, Bob","Rosen, Joe","Yomtov, Nel ; DeFalco, Tom",1992-05-01,
